8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,8
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8